<Header name=env>	06A	06A	06A	06A	06A
<Use>	data	data	data	data	data
<Format>	num	num	num	num	num
<Trait>	PlantHeight	EarHeight	EarLength	EarRowNumber	20KernelWeight
NC362	NaN	NaN	NaN	NaN	NaN
NC364	160.0	55.0	179.0	14.0	5.3
NC366	150.0	45.0	NaN	NaN	NaN
NC368	155.0	60.0	NaN	NaN	NaN
ND246	105.0	40.0	NaN	NaN	NaN
Oh40B	125.0	50.0	NaN	12.0	3.2
Oh43	100.0	20.0	172.0	14.0	3.0
Oh43E	85.0	15.0	109.0	NaN	NaN
Oh603	NaN	NaN	NaN	NaN	NaN
OH7B	155.0	60.0	144.0	12.0	5.1
Os420	165.0	60.0	143.5	13.0	4.45
P39	80.0	30.0	NaN	NaN	NaN
Pa762	150.0	65.0	144.0	14.0	5.7
Pa875	115.0	55.0	138.5	15.0	3.9
Pa880	125.0	50.0	106.0	14.0	2.7
Pa91	130.0	45.0	NaN	NaN	NaN
R109B	145.0	60.0	NaN	NaN	NaN
R168	150.0	65.0	135.0	15.0	2.1
R177	155.0	45.0	129.5	14.0	6.55
R229	140.0	65.0	115.0	16.0	3.2
R4	160.0	60.0	164.5	12.0	3.9
SA24	140.0	65.0	176.5	14.0	3.75
SC213R	175.0	70.0	NaN	NaN	NaN
SC357	135.0	65.0	NaN	NaN	NaN
SC55	NaN	NaN	NaN	NaN	NaN
SD40	180.0	85.0	209.0	16.0	5.95
SD44	120.0	25.0	179.0	16.0	3.9
Sg1533	120.0	75.0	127.0	14.0	2.8
Sg18	145.0	80.0	121.0	16.0	NaN
T232	175.0	95.0	130.0	NaN	5.15
T234	130.0	55.0	163.0	14.0	5.7
T8	175.0	80.0	133.5	NaN	5.9
Tx303	170.0	95.0	NaN	NaN	NaN
Tx601	210.0	140.0	NaN	NaN	NaN
Tzi10	135.0	NaN	NaN	NaN	NaN
Tzi11	145.0	60.0	NaN	NaN	NaN
Tzi16	175.0	90.0	140.0	16.0	3.5
Tzi18	180.0	105.0	130.0	14.0	3.0
Tzi25	190.0	110.0	159.0	13.0	5.25
Tzi8	NaN	NaN	NaN	NaN	NaN
Tzi9	165.0	NaN	126.0	NaN	NaN
U267Y	NaN	NaN	NaN	NaN	NaN
VA102	115.0	35.0	115.0	16.0	3.0
Va14	125.0	40.0	124.0	NaN	2.8
Va17	140.0	55.0	127.5	14.0	5.1
Va22	140.0	70.0	198.0	14.0	5.2
Va26	130.0	40.0	151.0	12.0	4.9
Va35	135.0	60.0	172.0	13.0	7.1
Va59	135.0	45.0	125.0	12.0	4.6
Va85	150.0	55.0	NaN	NaN	NaN
Va99	155.0	55.0	172.5	15.0	6.3
VaW6	85.0	25.0	184.0	16.0	2.7
W117Ht	90.0	30.0	87.0	NaN	NaN
W153R	115.0	60.0	112.0	12.0	4.6
W182B	135.0	25.0	NaN	NaN	NaN
W22	90.0	25.0	NaN	NaN	NaN
W22_R-rstd	80.0	20.0	109.0	12.0	2.85
W64A	70.0	20.0	101.0	NaN	NaN
WD	125.0	45.0	134.0	NaN	5.0
Wf9	165.0	55.0	160.0	16.0	3.9
Yu796_NS	155.0	70.0	109.5	13.0	6.15
Z001E0001	170.0	75.0	123.0	12.0	6.5
Z001E0002	185.0	92.5	117.0	12.0	6.8
Z001E0003	190.0	90.0	117.5	14.0	6.55
Z001E0004	180.0	100.0	132.0	18.0	5.8
Z001E0005	195.0	90.0	129.0	16.0	5.1
Z001E0006	200.0	125.0	163.0	18.0	5.0
Z001E0007	180.0	90.0	127.0	20.0	4.7
Z001E0008	100.0	45.0	135.0	14.0	4.4
Z001E0009	160.0	55.0	156.0	14.0	4.7
Z001E0010	165.0	70.0	155.5	15.0	5.2
Z001E0011	165.0	75.0	145.5	17.0	4.55
Z001E0012	180.0	85.0	153.0	16.0	4.3
Z001E0013	145.0	65.0	129.0	12.0	4.4
Z001E0014	165.0	70.0	126.0	18.0	3.7
Z001E0015	150.0	65.0	130.0	16.0	3.5
Z001E0016	120.0	55.0	105.0	12.0	5.9
Z001E0017	190.0	65.0	167.0	16.0	5.25
Z001E0018	145.0	62.5	122.0	16.0	5.1
Z001E0019	155.0	75.0	101.0	12.0	3.0
Z001E0020	150.0	70.0	124.0	18.0	3.0
Z001E0021	120.0	25.0	105.0	NaN	3.2
Z001E0022	170.0	80.0	169.0	17.0	3.8
Z001E0023	155.0	60.0	127.0	14.0	4.5
Z001E0024	165.0	70.0	135.0	12.0	4.9
Z001E0025	155.0	75.0	96.0	16.0	3.0
Z001E0026	160.0	75.0	159.0	16.0	3.8
Z001E0027	170.0	90.0	122.0	16.0	3.1
Z001E0028	140.0	55.0	102.0	14.0	7.1
Z001E0029	160.0	85.0	113.0	18.0	4.3
Z001E0030	125.0	50.0	162.0	14.0	4.7
Z001E0031	145.0	60.0	NaN	NaN	NaN
Z001E0032	160.0	45.0	166.0	16.0	3.3
Z001E0033	155.0	70.0	165.0	18.0	3.9
Z001E0034	140.0	55.0	116.0	NaN	3.2
Z001E0035	135.0	70.0	77.0	16.0	3.1
Z001E0036	170.0	70.0	130.0	12.0	5.5
Z001E0037	185.0	70.0	106.0	20.0	4.85
Z001E0038	145.0	60.0	146.0	14.0	4.4
Z001E0039	115.0	40.0	111.5	13.0	2.7
Z001E0040	190.0	85.0	NaN	NaN	4.0
Z001E0041	175.0	85.0	141.0	16.0	5.0
Z001E0042	NaN	NaN	NaN	NaN	NaN
Z001E0043	140.0	65.0	108.0	18.0	3.0
Z001E0044	165.0	50.0	142.0	14.0	5.2
Z001E0045	165.0	70.0	126.0	20.0	2.3
Z001E0046	170.0	65.0	112.0	16.0	4.5
Z001E0047	150.0	70.0	134.0	14.0	3.7
Z001E0048	145.0	60.0	163.0	14.0	3.0
Z001E0049	145.0	60.0	NaN	NaN	NaN
Z001E0050	110.0	50.0	82.0	12.0	2.8
Z001E0051	160.0	75.0	119.5	16.0	2.6
Z001E0052	160.0	85.0	144.0	12.0	3.7
Z001E0053	125.0	35.0	139.0	NaN	4.4
Z001E0054	140.0	60.0	114.0	NaN	3.7
Z001E0055	135.0	65.0	119.0	14.0	4.0
Z001E0056	185.0	92.5	152.0	16.0	3.2
Z001E0057	175.0	85.0	189.0	14.0	3.5
Z001E0058	175.0	65.0	115.0	16.0	3.6
Z001E0059	195.0	70.0	133.0	16.0	5.3
Z001E0060	200.0	100.0	123.0	16.0	5.4
