<Header name=env>	06A	06A	06A	06A	06A
<Use>	data	data	data	data	data
<Format>	num	num	num	num	num
<Trait>	PlantHeight	EarHeight	EarLength	EarRowNumber	20KernelWeight
Z020E0110	180.0	105.0	NaN	NaN	NaN
Z020E0111	150.0	60.0	NaN	NaN	NaN
Z020E0112	165.0	55.0	NaN	NaN	NaN
Z020E0113	135.0	75.0	81.0	16.0	3.9
Z020E0114	165.0	65.0	118.0	13.0	5.15
Z020E0115	155.0	70.0	139.0	18.0	3.1
Z020E0116	130.0	70.0	111.0	16.0	3.7
Z020E0117	175.0	85.0	117.0	16.0	4.1
Z020E0118	155.0	70.0	110.0	12.0	3.45
Z020E0119	155.0	60.0	85.0	14.0	2.5
Z020E0120	155.0	80.0	NaN	NaN	NaN
Z020E0121	145.0	65.0	NaN	NaN	NaN
Z020E0122	160.0	60.0	NaN	NaN	NaN
Z020E0123	150.0	70.0	127.0	12.0	3.2
Z020E0124	155.0	75.0	117.0	16.0	2.6
Z020E0125	130.0	50.0	NaN	NaN	NaN
Z020E0126	130.0	60.0	129.5	19.0	4.2
Z020E0127	140.0	60.0	NaN	NaN	NaN
Z020E0128	95.0	45.0	NaN	NaN	NaN
Z020E0129	140.0	50.0	126.0	14.0	3.7
Z020E0130	135.0	55.0	NaN	NaN	NaN
Z020E0131	145.0	70.0	NaN	NaN	NaN
Z020E0132	115.0	45.0	126.0	16.0	3.5
Z020E0133	190.0	90.0	113.0	16.0	3.1
Z020E0134	160.0	80.0	130.0	20.0	4.3
Z020E0135	165.0	60.0	133.0	16.0	4.8
Z020E0136	170.0	70.0	102.0	NaN	NaN
Z020E0137	135.0	70.0	161.0	16.0	3.6
Z020E0138	175.0	85.0	146.0	14.0	5.5
Z020E0139	125.0	70.0	149.0	14.0	4.0
Z020E0140	165.0	NaN	108.0	16.0	3.4
Z020E0141	205.0	90.0	103.0	18.0	4.5
Z020E0142	90.0	35.0	NaN	NaN	NaN
Z020E0143	100.0	35.0	126.0	16.0	3.7
Z020E0144	140.0	70.0	132.0	18.0	4.1
Z020E0145	150.0	70.0	141.0	16.0	4.0
Z020E0146	180.0	85.0	162.0	14.0	5.6
Z020E0147	195.0	90.0	126.0	12.0	3.0
Z020E0148	100.0	40.0	NaN	NaN	NaN
Z020E0149	155.0	70.0	133.5	19.0	4.55
Z020E0150	160.0	65.0	135.0	13.0	5.2
Z020E0151	130.0	65.0	NaN	NaN	NaN
Z020E0152	125.0	50.0	NaN	NaN	NaN
Z020E0153	140.0	70.0	145.0	16.0	4.6
Z020E0154	130.0	55.0	92.5	16.0	4.75
Z020E0155	115.0	55.0	NaN	NaN	NaN
Z020E0156	145.0	65.0	161.0	14.0	4.5
Z020E0157	165.0	75.0	101.0	NaN	4.7
Z020E0158	NaN	NaN	NaN	NaN	NaN
Z020E0159	130.0	65.0	83.0	15.0	3.5
Z020E0160	135.0	65.0	98.5	14.5	2.85
Z020E0161	135.0	65.0	97.0	14.0	3.0
Z020E0162	95.0	35.0	NaN	NaN	NaN
Z020E0163	155.0	70.0	119.0	12.0	3.4
Z020E0164	120.0	55.0	NaN	NaN	NaN
Z020E0165	170.0	85.0	143.0	15.0	3.8
Z020E0166	165.0	65.0	103.0	16.0	2.3
Z020E0167	150.0	80.0	124.0	18.0	3.5
Z020E0168	125.0	60.0	124.0	14.0	3.3
Z020E0169	170.0	85.0	138.0	16.0	4.0
Z020E0170	200.0	100.0	153.0	16.0	5.0
Z020E0171	150.0	55.0	NaN	NaN	NaN
Z020E0172	100.0	45.0	109.0	16.0	3.0
Z020E0173	120.0	65.0	86.0	14.0	3.7
Z020E0174	155.0	65.0	NaN	NaN	NaN
Z020E0175	175.0	85.0	99.5	17.0	2.65
Z020E0176	185.0	65.0	176.0	16.0	6.2
Z020E0177	190.0	90.0	176.0	16.0	6.0
Z020E0178	155.0	60.0	142.0	24.0	4.55
Z020E0179	160.0	60.0	146.0	15.0	3.15
Z020E0180	155.0	70.0	149.0	14.0	3.7
Z020E0181	155.0	45.0	146.0	NaN	NaN
Z020E0182	145.0	65.0	NaN	NaN	NaN
Z020E0183	175.0	80.0	154.0	12.0	3.6
Z020E0184	160.0	70.0	122.5	14.0	3.95
Z020E0185	200.0	95.0	NaN	NaN	NaN
Z020E0186	125.0	55.0	NaN	NaN	NaN
Z020E0187	190.0	95.0	97.0	12.0	3.5
Z020E0188	120.0	55.0	98.0	14.0	4.1
Z020E0189	130.0	70.0	113.0	16.0	3.2
Z020E0190	185.0	80.0	NaN	NaN	NaN
Z020E0191	145.0	60.0	NaN	NaN	NaN
Z020E0192	155.0	60.0	120.0	14.0	3.7
Z020E0193	160.0	55.0	128.0	16.0	5.1
Z020E0194	165.0	75.0	NaN	NaN	NaN
Z020E0195	155.0	80.0	113.0	14.0	5.3
Z020E0196	120.0	35.0	117.0	NaN	NaN
Z020E0197	220.0	110.0	168.0	14.0	3.9
Z020E0198	155.0	75.0	NaN	NaN	NaN
Z020E0199	130.0	55.0	175.0	18.0	4.2
Z020E0200	150.0	70.0	NaN	NaN	NaN
Z020E0201	180.0	81.5	138.2307692	18.61538462	4.530769231
Z020E0202	NaN	NaN	NaN	NaN	3.6
Z020E0208	NaN	NaN	NaN	NaN	NaN
Z020E0232	NaN	NaN	NaN	NaN	NaN
Z020E0234	NaN	NaN	NaN	NaN	NaN
Z020E0257	NaN	NaN	NaN	NaN	NaN
Z020E0270	NaN	NaN	NaN	NaN	NaN
Z020E0278	NaN	NaN	NaN	NaN	NaN
Z020E0281	NaN	NaN	NaN	NaN	NaN
Z021E0001	115.0	60.0	125.0	12.0	2.8
Z021E0002	160.0	85.0	146.5	18.0	2.8
Z021E0003	145.0	55.0	NaN	NaN	NaN
Z021E0004	135.0	40.0	142.0	12.0	3.15
Z021E0005	150.0	55.0	176.0	NaN	4.0
Z021E0006	150.0	75.0	180.0	16.0	4.0
Z021E0007	125.0	40.0	NaN	NaN	2.9
Z021E0008	140.0	55.0	79.5	14.0	3.15
Z021E0009	145.0	55.0	124.5	16.5	3.4
Z021E0010	110.0	30.0	166.0	12.0	4.3
Z021E0011	135.0	60.0	155.0	14.0	5.8
Z021E0012	140.0	45.0	160.0	16.0	3.8
Z021E0013	145.0	70.0	143.0	16.0	3.7
Z021E0014	155.0	70.0	NaN	NaN	NaN
Z021E0015	150.0	45.0	138.0	11.5	4.2
Z021E0016	155.0	60.0	132.5	16.0	3.7
Z021E0017	140.0	75.0	126.0	14.0	3.05
Z021E0018	130.0	50.0	125.0	15.0	3.0
Z021E0019	145.0	55.0	139.5	18.0	4.0
Z021E0020	140.0	70.0	139.0	14.0	4.3
Z021E0021	135.0	50.0	165.0	16.0	3.8
Z021E0022	160.0	70.0	NaN	NaN	NaN
Z021E0023	160.0	80.0	142.0	18.0	3.3
Z021E0024	125.0	35.0	164.0	12.0	4.3
Z021E0025	110.0	40.0	NaN	NaN	4.7
Z021E0026	150.0	60.0	131.5	13.0	4.2
Z021E0027	165.0	70.0	147.0	12.0	5.6
Z021E0028	NaN	NaN	NaN	NaN	NaN
Z021E0029	130.0	55.0	147.0	14.0	4.2
Z021E0030	160.0	65.0	147.0	14.0	4.4
Z021E0031	150.0	60.0	168.0	14.0	3.4
Z021E0032	145.0	65.0	136.5	14.0	3.35
Z021E0033	130.0	45.0	144.0	16.0	4.1
Z021E0034	NaN	NaN	NaN	NaN	NaN
Z021E0035	155.0	60.0	138.0	10.0	3.5
Z021E0036	150.0	60.0	174.0	16.0	3.4
Z021E0037	125.0	50.0	NaN	NaN	NaN
Z021E0038	155.0	75.0	124.0	14.0	3.5
Z021E0039	135.0	45.0	145.0	16.0	4.5
Z021E0040	195.0	95.0	156.0	14.0	3.3
Z021E0041	NaN	NaN	NaN	NaN	NaN
Z021E0042	155.0	70.0	164.0	12.0	3.7
Z021E0043	140.0	50.0	130.0	12.0	4.3
Z021E0044	110.0	35.0	178.5	17.0	4.2
Z021E0045	155.0	70.0	161.0	NaN	5.6
Z021E0046	160.0	55.0	136.0	22.0	3.6
Z021E0047	135.0	80.0	104.0	12.0	3.1
Z021E0048	150.0	70.0	149.0	15.0	4.0
Z021E0049	125.0	40.0	159.0	12.0	6.8
Z021E0050	125.0	45.0	156.0	10.0	5.3
Z021E0051	140.0	50.0	135.0	12.0	3.6
Z021E0052	165.0	85.0	145.0	14.0	3.45
Z021E0053	130.0	70.0	153.0	14.0	4.2
Z021E0054	125.0	60.0	117.0	20.0	3.2
Z021E0055	NaN	NaN	NaN	NaN	NaN
Z021E0056	140.0	55.0	168.0	16.0	4.05
Z021E0057	100.0	35.0	104.5	13.0	2.9
Z021E0058	150.0	70.0	156.0	14.0	3.0
Z021E0059	135.0	60.0	97.0	13.0	2.4
Z021E0060	145.0	65.0	163.5	17.0	4.15
Z021E0061	185.0	90.0	142.0	14.0	2.9
Z021E0062	140.0	55.0	166.5	13.0	5.0
Z021E0063	125.0	35.0	113.5	18.0	3.75
Z021E0064	145.0	50.0	161.0	14.0	4.5
Z021E0065	150.0	50.0	192.0	14.0	4.6
Z021E0066	130.0	55.0	121.5	13.0	3.25
Z021E0067	160.0	55.0	169.0	12.0	5.0
Z021E0068	135.0	55.0	141.0	14.0	3.6
Z021E0069	130.0	40.0	173.0	14.0	4.8
Z021E0070	130.0	45.0	121.5	13.5	2.7
Z021E0071	145.0	70.0	206.0	15.0	4.55
Z021E0072	150.0	70.0	166.0	14.0	3.6
Z021E0073	110.0	55.0	127.0	16.0	2.5
Z021E0074	160.0	60.0	162.0	12.0	4.6
Z021E0075	110.0	45.0	132.0	14.0	2.9
Z021E0076	160.0	60.0	119.5	14.0	4.15
Z021E0077	115.0	50.0	107.0	16.0	NaN
Z021E0078	140.0	65.0	118.0	12.0	3.3
Z021E0079	110.0	35.0	146.0	12.0	2.5
Z021E0080	150.0	45.0	137.0	12.0	3.6
Z021E0081	155.0	60.0	180.0	16.0	4.6
Z021E0082	165.0	70.0	186.0	12.0	4.1
Z021E0083	145.0	60.0	160.0	18.0	4.2
Z021E0084	140.0	50.0	174.5	15.0	4.15
Z021E0085	125.0	40.0	158.0	14.0	3.6
Z021E0086	110.0	55.0	160.0	14.0	3.6
Z021E0087	145.0	65.0	157.0	NaN	2.7
Z021E0088	130.0	40.0	143.0	12.0	4.0
Z021E0089	150.0	75.0	151.0	14.0	5.1
Z021E0090	145.0	60.0	169.0	16.0	3.3
Z021E0091	160.0	65.0	144.0	14.0	3.5
Z021E0092	150.0	65.0	174.0	16.0	4.1
Z021E0093	120.0	45.0	139.0	18.0	3.4
Z021E0094	145.0	75.0	108.0	16.0	2.95
Z021E0095	155.0	65.0	171.0	16.0	3.5
Z021E0096	155.0	70.0	109.0	16.0	5.55
Z021E0097	135.0	50.0	142.0	14.66666667	3.7
Z021E0098	120.0	30.0	118.0	12.0	1.9
Z021E0099	140.0	45.0	140.0	14.0	3.9
Z021E0100	130.0	50.0	118.0	20.0	4.9
Z021E0101	165.0	75.0	143.0	12.0	4.1
Z021E0102	160.0	70.0	131.0	16.0	5.1
Z021E0103	160.0	75.0	159.0	16.0	3.7
Z021E0104	150.0	70.0	139.5	19.0	4.05
Z021E0105	155.0	80.0	128.0	16.0	3.25
Z021E0106	120.0	40.0	108.0	14.0	3.6
Z021E0107	125.0	50.0	110.0	12.0	3.5
Z021E0108	160.0	100.0	NaN	18.0	2.5
Z021E0109	100.0	30.0	176.0	NaN	3.5
Z021E0110	135.0	65.0	143.5	17.5	2.75
Z021E0111	170.0	65.0	164.0	14.0	5.4
Z021E0112	155.0	65.0	NaN	17.0	5.3
Z021E0113	145.0	55.0	NaN	16.0	3.35
Z021E0114	135.0	55.0	142.0	18.0	4.5
Z021E0115	160.0	75.0	154.0	17.0	3.65
Z021E0116	110.0	45.0	185.0	12.0	4.7
Z021E0117	NaN	NaN	NaN	NaN	NaN
Z021E0118	140.0	60.0	NaN	NaN	NaN
Z021E0119	145.0	75.0	130.0	17.0	4.15
Z021E0120	140.0	60.0	158.0	NaN	4.7
Z021E0121	145.0	60.0	125.0	16.0	3.7
Z021E0122	115.0	50.0	141.0	14.0	2.9
Z021E0123	135.0	45.0	152.0	14.0	2.9
Z021E0124	155.0	60.0	104.0	16.0	3.0
Z021E0125	105.0	40.0	118.0	14.0	2.0
Z021E0126	135.0	65.0	110.0	13.0	2.3
Z021E0127	120.0	55.0	NaN	NaN	NaN
Z021E0128	120.0	40.0	151.0	15.0	3.75
Z021E0129	145.0	55.0	121.0	16.0	3.5
Z021E0130	115.0	40.0	131.0	16.0	3.2
Z021E0131	120.0	50.0	175.0	12.0	4.1
Z021E0132	180.0	80.0	132.0	13.0	3.9
Z021E0133	165.0	85.0	109.0	22.0	3.7
Z021E0134	130.0	45.0	141.0	14.0	3.7
Z021E0135	115.0	45.0	141.0	NaN	2.6
Z021E0136	135.0	70.0	150.0	14.0	4.9
Z021E0137	160.0	60.0	172.5	17.0	4.95
Z021E0138	175.0	65.0	139.0	16.0	5.9
Z021E0139	100.0	40.0	154.3333333	11.5	2.9
Z021E0140	140.0	65.0	NaN	12.0	4.0
Z021E0141	130.0	50.0	130.0	14.0	2.7
Z021E0142	190.0	80.0	128.5	14.5	4.25
Z021E0143	140.0	45.0	156.5	15.5	3.6
Z021E0144	115.0	40.0	126.0	15.0	2.75
Z021E0145	NaN	NaN	NaN	NaN	NaN
Z021E0146	135.0	55.0	127.0	16.0	2.7
Z021E0147	160.0	65.0	167.0	14.0	5.2
Z021E0148	120.0	45.0	105.0	18.0	3.2
Z021E0149	115.0	40.0	130.0	NaN	2.7
Z021E0150	145.0	75.0	117.0	16.0	4.7
Z021E0151	160.0	65.0	153.0	14.0	6.4
Z021E0152	165.0	65.0	145.0	12.0	3.0
Z021E0153	145.0	45.0	153.0	12.0	3.0
Z021E0154	NaN	NaN	NaN	NaN	NaN
Z021E0155	130.0	50.0	150.0	15.0	4.05
Z021E0156	130.0	70.0	128.0	16.0	5.1
Z021E0157	145.0	65.0	121.0	13.0	3.9
Z021E0158	140.0	60.0	131.5	12.0	4.35
Z021E0159	85.0	30.0	71.0	14.0	1.7
Z021E0160	135.0	55.0	96.0	16.0	4.2
Z021E0161	125.0	50.0	133.0	16.0	2.8
Z021E0162	185.0	90.0	178.0	14.0	5.4
Z021E0163	NaN	NaN	NaN	NaN	NaN
Z021E0164	150.0	65.0	165.0	18.0	2.9
Z021E0165	185.0	85.0	177.5	12.0	6.15
Z021E0166	NaN	NaN	NaN	NaN	NaN
Z021E0167	140.0	70.0	161.0	16.0	2.8
Z021E0168	160.0	65.0	158.0	12.0	2.8
Z021E0169	145.0	65.0	95.0	16.0	2.3
Z021E0170	155.0	80.0	158.0	17.0	3.2
Z021E0171	155.0	65.0	136.0	14.0	2.0
Z021E0172	160.0	90.0	136.0	16.0	3.7
Z021E0173	160.0	85.0	170.0	14.0	4.45
Z021E0174	145.0	65.0	144.0	18.0	3.5
Z021E0175	200.0	95.0	172.5	13.0	4.95
Z021E0176	155.0	55.0	154.0	14.0	4.4
Z021E0177	105.0	40.0	156.0	NaN	4.4
Z021E0178	145.0	75.0	152.0	14.0	2.5
Z021E0179	145.0	65.0	153.5	16.0	3.7
Z021E0180	145.0	50.0	126.0	16.0	2.4
Z021E0181	125.0	50.0	175.0	16.0	3.6
Z021E0182	115.0	45.0	NaN	NaN	NaN
Z021E0183	115.0	50.0	154.0	14.0	3.6
Z021E0184	145.0	55.0	NaN	NaN	NaN
Z021E0185	170.0	80.0	145.0	16.0	4.3
Z021E0186	150.0	75.0	167.0	14.0	5.2
Z021E0187	120.0	40.0	140.0	12.0	3.4
Z021E0188	105.0	40.0	132.0	15.0	3.2
Z021E0189	130.0	45.0	129.0	12.0	5.5
Z021E0190	130.0	50.0	157.0	16.0	2.7
Z021E0191	115.0	45.0	147.0	12.0	3.25
Z021E0192	130.0	60.0	112.0	12.0	2.8
Z021E0193	180.0	95.0	173.0	14.0	3.65
Z021E0194	140.0	40.0	178.0	18.0	2.1
Z021E0195	120.0	50.0	151.0	12.0	5.2
Z021E0196	100.0	30.0	82.0	13.0	3.7
Z021E0197	140.0	80.0	140.0	16.0	3.2
Z021E0198	150.0	60.0	98.0	14.0	3.3
Z021E0199	145.0	60.0	148.0	13.0	3.0
Z021E0200	145.0	60.0	160.0	15.0	4.6
Z021E0201	162.5	68.5	137.8333333	18.25	3.966666667
Z021E0202	135.0	48.5	136.5	NaN	3.9375
Z021E0205	NaN	NaN	NaN	NaN	NaN
Z021E0216	NaN	NaN	NaN	NaN	NaN
Z021E0235	NaN	NaN	NaN	NaN	NaN
Z021E0239	NaN	NaN	NaN	NaN	NaN
Z021E0241	NaN	NaN	NaN	NaN	NaN
Z021E0258	NaN	NaN	NaN	NaN	NaN
Z021E0270	NaN	NaN	NaN	NaN	NaN
Z021E0275	NaN	NaN	NaN	NaN	NaN
Z022E0001	145.0	55.0	140.5	18.0	4.3
Z022E0002	160.0	60.0	133.5	14.0	4.2
Z022E0003	200.0	100.0	159.0	17.0	6.433333333
Z022E0004	190.0	105.0	125.0	21.5	4.25
Z022E0005	175.0	80.0	NaN	12.0	5.0
Z022E0006	160.0	70.0	173.0	15.0	5.85
Z022E0007	170.0	65.0	101.0	15.0	4.0
Z022E0008	180.0	85.0	150.0	13.0	5.8
Z022E0009	155.0	65.0	126.0	14.0	4.3
Z022E0010	185.0	75.0	NaN	NaN	NaN
Z022E0011	175.0	70.0	164.5	15.0	5.7
Z022E0012	175.0	90.0	193.5	16.0	5.55
Z022E0013	175.0	75.0	NaN	NaN	NaN
Z022E0014	180.0	60.0	152.0	17.0	4.65
Z022E0015	155.0	65.0	159.0	16.0	4.3
Z022E0016	125.0	50.0	107.0	12.0	2.6
Z022E0017	160.0	60.0	131.0	20.0	3.6
Z022E0018	170.0	85.0	165.5	16.0	4.25
Z022E0019	160.0	60.0	162.0	16.0	4.35
Z022E0020	180.0	80.0	NaN	NaN	NaN
Z022E0021	185.0	85.0	159.5	14.0	4.5
Z022E0022	170.0	70.0	162.5	14.0	5.3
Z022E0023	155.0	65.0	151.0	17.0	4.65
Z022E0024	125.0	45.0	164.0	13.0	5.2
Z022E0025	155.0	60.0	134.5	16.0	5.5
Z022E0026	200.0	120.0	184.5	17.0	4.55
Z022E0027	130.0	60.0	110.0	17.0	4.5
Z022E0028	165.0	60.0	101.0	NaN	5.3
Z022E0029	160.0	65.0	148.0	19.0	3.25
Z022E0030	170.0	50.0	117.0	17.0	5.6
Z022E0031	180.0	80.0	147.0	15.0	10.7
Z022E0032	110.0	25.0	157.0	17.0	NaN
Z022E0033	140.0	50.0	127.5	19.5	4.15
Z022E0034	185.0	95.0	104.0	12.0	8.6
Z022E0035	150.0	45.0	159.0	18.66666667	5.9
Z022E0036	190.0	95.0	157.0	18.0	4.35
Z022E0037	185.0	70.0	151.0	22.0	5.3
Z022E0038	180.0	70.0	180.0	16.0	4.8
Z022E0039	160.0	55.0	144.0	14.0	3.6
Z022E0040	175.0	75.0	187.5	16.0	4.5
Z022E0041	160.0	70.0	145.0	12.0	5.7
Z022E0042	155.0	65.0	173.0	NaN	NaN
Z022E0043	190.0	85.0	129.0	14.0	2.75
Z022E0044	195.0	100.0	112.0	15.0	4.65
Z022E0045	200.0	100.0	NaN	14.0	4.6
Z022E0046	170.0	70.0	138.0	15.0	4.75
Z022E0047	185.0	80.0	151.5	17.0	4.9
Z022E0048	170.0	55.0	156.5	18.0	4.7
Z022E0049	190.0	80.0	104.5	16.0	4.4
Z022E0050	150.0	55.0	178.0	18.0	5.25
Z022E0051	160.0	60.0	133.0	15.0	3.9
Z022E0052	160.0	90.0	184.6666667	19.0	3.95
Z022E0053	135.0	70.0	112.5	19.5	4.4
Z022E0054	150.0	60.0	171.5	18.0	3.95
Z022E0055	160.0	60.0	184.0	16.0	4.45
Z022E0056	195.0	95.0	72.0	NaN	NaN
Z022E0057	135.0	55.0	219.0	18.0	3.9
Z022E0058	140.0	60.0	126.0	14.0	4.3
Z022E0059	155.0	60.0	173.0	16.0	NaN
Z022E0060	180.0	90.0	146.5	14.0	3.75
Z022E0061	160.0	65.0	164.0	NaN	6.7
Z022E0062	170.0	65.0	174.0	15.0	4.8
Z022E0063	135.0	65.0	168.5	15.0	3.5
Z022E0064	150.0	60.0	114.0	14.0	2.85
Z022E0065	165.0	70.0	NaN	14.0	4.55
Z022E0066	170.0	65.0	115.0	NaN	NaN
Z022E0067	130.0	35.0	173.0	14.0	4.3
Z022E0068	125.0	50.0	149.0	22.0	4.6
Z022E0069	155.0	55.0	146.0	15.0	3.966666667
Z022E0070	160.0	60.0	185.0	12.0	5.6
Z022E0071	190.0	100.0	174.0	14.0	3.75
Z022E0072	170.0	65.0	163.5	14.0	3.8
Z022E0073	150.0	65.0	161.5	15.0	4.05
Z022E0074	160.0	85.0	NaN	NaN	NaN
Z022E0075	125.0	60.0	175.5	14.0	3.0
Z022E0076	200.0	105.0	163.0	19.0	3.0
Z022E0077	155.0	50.0	182.0	15.0	4.4
Z022E0078	160.0	80.0	142.0	16.0	2.8
Z022E0079	180.0	60.0	153.5	19.0	3.55
Z022E0080	150.0	70.0	187.5	14.0	5.15
Z022E0081	155.0	70.0	154.5	20.0	3.95
Z022E0082	185.0	80.0	161.0	19.0	5.8
Z022E0083	190.0	100.0	162.0	18.0	3.95
Z022E0084	175.0	75.0	116.0	17.0	4.4
Z022E0085	165.0	70.0	176.0	18.0	4.25
Z022E0086	175.0	65.0	121.0	14.0	3.3
Z022E0087	145.0	55.0	88.0	16.0	3.0
Z022E0088	185.0	80.0	177.0	15.0	4.7
Z022E0089	150.0	65.0	148.5	17.0	3.3
Z022E0090	175.0	55.0	120.5	11.5	7.15
Z022E0091	170.0	75.0	191.0	16.0	4.7
Z022E0092	160.0	80.0	164.5	16.0	6.15
Z022E0093	200.0	105.0	142.5	12.0	6.1
Z022E0094	185.0	95.0	167.0	16.0	5.2
Z022E0095	140.0	55.0	131.5	14.0	3.8
Z022E0096	175.0	80.0	152.0	16.0	5.9
Z022E0097	185.0	90.0	158.5	17.0	3.15
Z022E0098	140.0	50.0	148.5	13.0	4.95
Z022E0099	165.0	60.0	154.0	16.0	3.0
Z022E0100	170.0	80.0	131.0	16.0	4.0
Z022E0101	180.0	90.0	161.5	16.0	3.55
Z022E0102	120.0	50.0	130.0	15.0	4.3
Z022E0103	155.0	40.0	157.0	13.0	4.35
Z022E0104	165.0	65.0	159.5	16.0	4.3
Z022E0105	190.0	80.0	NaN	NaN	NaN
Z022E0106	NaN	57.5	NaN	NaN	NaN
Z022E0107	185.0	60.0	190.0	16.0	4.5
Z022E0108	170.0	80.0	137.0	16.0	5.9
Z022E0109	175.0	95.0	179.5	18.0	3.45
Z022E0110	165.0	75.0	200.0	15.0	6.55
Z022E0111	170.0	75.0	162.0	16.0	4.6
Z022E0112	150.0	55.0	167.5	16.0	5.2
Z022E0113	145.0	65.0	182.5	13.0	4.6
Z022E0114	200.0	90.0	161.5	15.5	4.45
Z022E0115	150.0	60.0	148.0	18.0	4.3
Z022E0116	185.0	80.0	153.5	17.0	2.2
Z022E0117	175.0	85.0	144.5	NaN	4.4
Z022E0118	185.0	45.0	191.5	15.0	6.15
Z022E0119	140.0	65.0	114.5	16.5	3.15
Z022E0120	185.0	70.0	151.0	18.0	2.5
Z022E0121	175.0	95.0	149.0	16.0	3.7
Z022E0122	165.0	65.0	155.0	19.0	3.1
Z022E0123	170.0	70.0	145.5	NaN	4.45
Z022E0124	170.0	65.0	141.5	13.0	4.4
Z022E0125	155.0	40.0	89.0	13.0	2.55
Z022E0126	175.0	70.0	161.0	NaN	3.4
Z022E0127	140.0	60.0	137.0	15.0	3.6
Z022E0128	190.0	85.0	NaN	NaN	NaN
Z022E0129	175.0	75.0	178.5	14.0	4.65
Z022E0130	180.0	55.0	165.0	13.0	4.1
Z022E0131	175.0	65.0	168.5	16.0	4.65
Z022E0132	175.0	85.0	157.0	20.0	3.95
Z022E0133	155.0	85.0	141.0	16.0	3.8
Z022E0134	170.0	80.0	135.0	16.5	5.0
Z022E0135	195.0	95.0	152.5	15.0	5.05
Z022E0136	165.0	65.0	133.0	15.0	4.1
Z022E0137	140.0	65.0	156.0	14.0	3.5
Z022E0138	165.0	80.0	152.5	13.0	4.0
Z022E0139	NaN	NaN	NaN	NaN	NaN
Z022E0140	180.0	70.0	154.0	15.0	5.45
Z022E0141	155.0	70.0	168.5	15.0	2.6
Z022E0142	140.0	65.0	177.5	17.5	4.05
Z022E0143	200.0	95.0	216.5	18.0	5.45
Z022E0144	155.0	65.0	163.0	23.0	3.3
Z022E0145	165.0	75.0	145.0	NaN	3.8
Z022E0146	160.0	70.0	175.5	17.5	4.2
Z022E0147	160.0	65.0	115.5	13.0	6.25
Z022E0148	160.0	75.0	159.5	18.0	4.55
Z022E0149	185.0	60.0	189.0	23.0	2.95
Z022E0150	130.0	50.0	142.0	18.0	3.0
Z022E0151	155.0	75.0	148.5	16.5	4.5
Z022E0152	150.0	70.0	NaN	NaN	NaN
Z022E0153	160.0	75.0	182.0	14.0	6.0
Z022E0154	180.0	75.0	168.0	NaN	4.0
Z022E0155	175.0	85.0	173.0	14.0	5.0
Z022E0156	190.0	85.0	156.0	22.0	3.3
Z022E0157	175.0	95.0	166.5	17.0	2.9
Z022E0158	140.0	35.0	134.0	18.0	3.1
Z022E0159	160.0	70.0	161.0	NaN	4.2
Z022E0160	130.0	50.0	173.0	15.0	4.2
Z022E0161	200.0	105.0	103.0	NaN	NaN
Z022E0162	145.0	70.0	160.0	15.0	3.1
Z022E0163	180.0	75.0	137.0	16.0	4.45
Z022E0164	160.0	75.0	136.5	17.0	2.6
Z022E0165	160.0	65.0	143.5	18.5	2.95
Z022E0166	165.0	85.0	158.0	18.0	3.9
Z022E0167	185.0	110.0	167.0	20.0	3.8
Z022E0168	150.0	60.0	183.5	17.0	3.4
Z022E0169	155.0	40.0	167.5	16.0	3.7
Z022E0170	190.0	90.0	150.0	19.0	4.6
Z022E0171	165.0	65.0	172.0	16.0	5.0
Z022E0172	165.0	80.0	101.0	17.0	5.05
Z022E0173	165.0	80.0	126.0	13.0	4.1
Z022E0174	145.0	65.0	153.0	16.0	3.8
Z022E0175	150.0	55.0	192.0	13.0	7.6
Z022E0176	170.0	75.0	159.5	16.0	3.55
Z022E0177	160.0	85.0	144.5	14.0	3.5
Z022E0178	170.0	80.0	143.5	17.0	3.75
Z022E0179	135.0	70.0	148.5	15.0	4.5
Z022E0180	175.0	65.0	134.0	20.0	3.35
Z022E0181	190.0	80.0	95.0	14.0	7.2
Z022E0182	125.0	40.0	118.5	NaN	4.4
Z022E0183	150.0	55.0	132.5	15.0	3.6
Z022E0184	175.0	70.0	125.0	17.0	4.6
Z022E0185	170.0	65.0	144.0	18.0	4.8
Z022E0186	165.0	75.0	159.5	18.0	3.5
Z022E0187	170.0	60.0	153.0	16.0	4.3
Z022E0188	165.0	60.0	177.5	15.0	3.45
Z022E0189	140.0	60.0	200.5	18.0	5.1
Z022E0190	160.0	75.0	181.0	19.0	5.3
Z022E0191	180.0	50.0	145.0	18.0	4.3
Z022E0192	170.0	90.0	164.5	NaN	5.0
Z022E0193	170.0	60.0	191.0	15.0	3.55
Z022E0194	190.0	80.0	128.5	NaN	NaN
Z022E0195	170.0	95.0	157.5	19.0	5.05
Z022E0196	145.0	75.0	150.0	16.0	4.95
Z022E0197	175.0	95.0	149.0	19.0	3.45
Z022E0198	130.0	60.0	138.5	16.0	3.35
Z022E0199	120.0	60.0	119.5	21.0	2.8
Z022E0200	160.0	65.0	139.0	13.0	6.1
Z022E0201	176.0	79.0	144.3684211	NaN	4.763157895
Z022E0202	136.5	50.0	168.2631579	15.36842105	3.015789474
Z022E0207	NaN	NaN	NaN	NaN	NaN
