Z005E0038	Ames26769
Z005E0039	Ames26769
Z005E0040	NSL65868
Z005E0042	PI340857
Z005E0043	PI340860
Z005E0044	B2-good
Z005E0045	B2-good
Z005E0046	NSL30046
Z005E0047	PI550468
Z005E0048	PI340838
Z005E0049	B46
Z005E0053	B46
Z005E0054	PI550469
Z005E0055	PI550469
Z005E0056	PI550443
Z005E0057	B52
Z005E0058	B52
Z005E0059	PI550454
Z005E0060	PI550470
Z005E0061	PI550470
Z005E0062	PI608764
Z005E0063	PI550471
Z005E0064	B64
Z005E0066	B64
Z005E0067	PI550440
Z005E0068	NSL65863
Z005E0069	B77
Z005E0070	B77
Z005E0071	PI608765
Z005E0072	B79
Z005E0074	B79
Z005E0075	PI608766
Z005E0076	NSL65864
Z005E0077	B84
Z005E0078	B84
Z005E0079	PI608767
Z005E0080	PI608777
Z005E0081	PI608778
Z005E0082	PI608768
Z005E0083	PI608768
Z005E0084	PI550556
Z005E0085	PI564683
Z005E0087	PI601007
Z005E0090	PI340835
Z005E0093	PI340845
Z005E0094	PI340851
Z005E0095	PI340858
Z005E0096	PI340861
Z005E0097	PI340861
Z005E0098	PI340861
Z005E0099	PI340861
Z005E0100	PI340861
Z005E0101	PI340861
Z005E0102	PI340839
Z005E0103	NSL42874
Z005E0104	Ames19285
Z005E0105	Ames22015
Z005E0106	Ames22015
Z005E0107	PI587126
Z005E0108	Ames22016
Z005E0109	Ames22017
Z005E0112	Ames22018
Z005E0113	Ames22019
Z005E0114	Ames26812
Z005E0115	Ames22020
Z005E0116	Ames22021
Z005E0117	Ames23506
Z005E0118	Ames22022
Z005E0119	Ames23507
Z005E0120	Ames28290
Z005E0121	Ames27067
Z005E0122	C49A
Z005E0123	C49A
Z005E0124	Ames26813
Z005E0125	Ames22011
Z005E0126	Ames22023
Z005E0127	Ames22012
Z005E0128	Ames22013
Z005E0129	Ames22014
Z005E0130	Ames22024
Z005E0131	PI340842
Z005E0133	PI340843
Z005E0134	PI340836
Z005E0135	PI340865
Z005E0136	Ames26114
Z005E0137	Ames26118
Z005E0138	Ames28949
Z005E0139	CIze127
Z005E0141	Ames26119
Z005E0142	Ames26115
Z005E0143	Ames26120
Z005E0144	CIze21
Z005E0145	CIze23
Z005E0146	Ames28950
Z005E0148	CIze27
Z005E0149	Ames26121
Z005E0150	CIze28
Z005E0151	CIze28
Z005E0152	CIze28
Z005E0153	CIze28
Z005E0154	Ames26122
Z005E0155	Ames26123
Z005E0157	CIze29
Z005E0158	CIze3
Z005E0159	Ames26124
Z005E0160	Ames26125
Z005E0161	CIze317
Z005E0162	Ames26126
Z005E0163	Ames26127
Z005E0164	CIze38
Z005E0165	Ames26116
Z005E0166	Ames26116
Z005E0167	CIze40
Z005E0168	Ames26128
Z005E0169	Ames26129
Z005E0170	CIze42
Z005E0171	Ames28951
Z005E0172	Ames28952
Z005E0173	CIze44
Z005E0174	CIze44
Z005E0175	CIze44
Z005E0176	CIze44
Z005E0179	Ames26130
Z005E0180	CIze49
Z005E0181	Ames28948
Z005E0182	Ames26028
Z005E0183	CIze64
Z005E0184	Ames28367
Z005E0185	Ames26131
Z005E0186	Ames26132
Z005E0187	Ames26133
Z005E0188	Ames26134
Z005E0189	Ames26117
Z005E0190	CIze81
Z005E0191	CIze82
Z005E0192	Ames26135
Z005E0193	Ames26135
Z005E0195	CIze83
Z005E0196	Ames26136
Z005E0197	CIze85
Z005E0198	CIze86
Z005E0199	CIze88
Z005E0204	CIze89
Z005E0211	CIze91
Z005E0212	CIze91
Z005E0213	Ames28365
Z005E0215	Ames26137
Z005E0233	Ames28953
Z005E0249	Ames28954
Z005E0267	Ames21512
Z005E0269	CI31A
Z005E0270	CI31A
Z006E0001	CIze45
Z006E0002	Ames19314
Z006E0003	CI64
Z006E0006	CI64
Z006E0007	CI66
Z006E0008	CI66
Z006E0009	PI587148
Z006E0010	PI587148
Z006E0011	CIze7
Z006E0012	CIze7
Z006E0014	CIze90
Z006E0015	Ames22440
Z006E0017	Ames22440
Z006E0018	Ames22440
Z006E0020	Ames22440
Z006E0024	Ames22440
Z006E0025	Ames22440
Z006E0026	CI90C
Z006E0028	CI90C
Z006E0029	PI601683
Z006E0031	PI601080
Z006E0032	PI559916
Z006E0033	PI560316
Z006E0034	CUB57c-2
Z006E0035	CUB57c-2(H
Z006E0036	DE811
Z006E0037	DE811
Z006E0038	PI550558
Z006E0041	PI550558
Z006E0042	Ames27109
Z006E0043	Ames27110
Z006E0044	E2558W
Z006E0046	E2558W
Z006E0047	PI601724
Z006E0048	Ames27112
Z006E0049	F2834T
Z006E0050	F2834T
Z006E0051	Ames7870
Z006E0053	F44
Z006E0055	F44
Z006E0056	NSL22893
Z006E0057	NSL22893
Z006E0058	NSL22893
Z006E0059	NSL22893
Z006E0060	Ames7871
Z006E0061	F6
Z006E0065	F6
Z006E0066	NSL22894
Z006E0068	NSL22894
Z006E0069	PI546482
Z006E0070	PI644100
Z006E0071	PI644099
Z006E0072	PI550574
Z006E0073	Ames10247
Z006E0074	Ames10248
Z006E0075	GA209
Z006E0076	GA209
Z006E0077	Ames10249
Z006E0078	Ames10250
Z006E0079	Ames10251
Z006E0080	GA220
Z006E0081	GA220(Krak
Z006E0082	Ames25218
Z006E0083	Ames25218
Z006E0084	Ames10252
Z006E0085	GA224
Z006E0086	Ames29451
Z006E0087	Ames10256
Z006E0089	Ames10256
Z006E0090	GE180
Z006E0091	GE180(Krak
Z006E0092	Ames10253
Z006E0093	Ames10257
Z006E0094	Ames10258
Z006E0095	Ames10259
Z006E0096	Ames10260
Z006E0097	Ames10261
Z006E0098	Ames10254
Z006E0099	Ames10255
Z006E0100	PI639497
Z006E0101	Ames26439
Z006E0102	PI639498
Z006E0103	PI639499
Z006E0104	PI639500
Z006E0105	Ames26443
Z006E0106	PI639501
Z006E0107	PI639502
Z006E0108	PI639503
Z006E0109	PI639504
Z006E0110	PI639505
Z006E0111	GEMN-0070
Z006E0112	GEMN-0071
Z006E0113	GEMN-0076
